state,job_count,avg_salary_min,avg_salary_max,avg_salary_midpoint,lowest_salary_min,highest_salary_max
CA,626,66312.0,110553.0,88432.0,34000,190000
IL,164,67793.0,88829.0,78311.0,42000,129000
CO,96,57948.0,89063.0,73505.0,49000,104000
NJ,86,55767.0,90233.0,73000.0,27000,132000
NY,345,53797.0,89026.0,71412.0,27000,132000
AZ,97,47082.0,94495.0,70789.0,43000,102000
NC,89,50966.0,85079.0,68022.0,40000,99000
VA,48,45250.0,85125.0,65188.0,43000,112000
WA,53,45189.0,84321.0,64755.0,35000,101000
PA,114,45632.0,77825.0,61728.0,37000,113000
DE,11,43545.0,75909.0,59727.0,37000,93000
TX,394,43386.0,74117.0,58751.0,24000,123000
FL,27,37037.0,66667.0,51852.0,30000,72000
IN,23,34000.0,61000.0,47500.0,34000,61000
OH,35,31600.0,58800.0,45200.0,28000,86000
UT,33,26606.0,48455.0,37530.0,26000,59000
